,OE
516,161.577655
517,145.258332
518,38.621050000000004
519,138.277928
520,110.444605
521,120.694036
522,38.076997
523,151.47335399999997
524,132.404037
525,226.442677
526,161.35801600000002
527,131.590846
528,339.022841
529,119.56391499999998
530,99.61475899999999
531,94.631257
532,327.961197
533,151.59669300000002
534,76.185531
535,104.370991
536,158.45375299999998
537,141.47598100000002
538,162.272206
539,221.443714
540,285.395019
541,39.710632
542,871.114145
543,171.67066200000002
544,74.378019
545,145.125027
546,142.299901
547,81.522377
548,240.67423299999996
549,105.658646
550,149.129825
551,273.684944
552,132.55616799999999
553,158.173019
554,246.620806
555,125.41077100000001
556,174.786307
557,164.049528
558,256.63185100000004
559,129.68179899999998
560,38.227868
561,315.241741
562,170.67885199999995
563,110.491895
564,172.181462
565,136.34570099999996
566,107.05761100000001
567,846.2643519999999
568,130.71707
569,144.495839
570,416.37255
571,102.736856
572,117.632939
573,823.5363930000001
574,132.87772
575,133.89108099999999
576,111.20170900000001
577,122.98922300000001
578,309.079489
579,888.742712
580,249.092254
581,166.03949
582,238.83284699999996
583,223.03912099999997
584,38.029252
585,126.302759
586,99.296811
587,135.88474099999996
588,199.443017
589,152.30262100000002
590,178.799897
591,116.23717299999998
592,230.55333399999998
593,90.697798
594,83.63190600000001
595,287.39547600000003
596,125.12788500000002
597,170.45810600000002
598,118.78447
599,125.27297100000001
600,368.142841
601,255.536974
602,148.05697899999996
603,808.423567
604,273.788976
605,113.63294099999999
606,158.678896
607,88.61552400000001
608,129.28099899999998
609,257.39285900000004
610,149.062063
611,38.111303
612,99.221406
613,119.82656800000001
614,94.94260500000001
615,788.611578
616,909.3327899999999
617,187.89887000000002
618,804.4796120000001
619,82.688298
620,123.08618100000001
621,248.983486
622,39.325983
623,129.92235
624,137.927364
625,793.102613
626,38.006183
627,825.3866869999999
628,785.243344
629,139.19006299999995
630,138.626512
631,186.786191
632,96.907765
633,92.536152
634,302.655497
635,159.24463399999996
636,853.2147279999999
637,37.93318
638,110.30883399999999
639,186.386237
640,147.293961
641,166.33012800000003
642,815.435931
643,80.283492
644,125.48923800000001
645,249.64429099999998
646,252.423135
647,94.07075
648,139.94602
649,129.835679
650,125.03732500000001
651,154.19541599999997
652,141.197274
653,148.31159300000002
654,346.105049
655,249.010496
656,181.706182
657,98.59098399999999
658,92.629923
659,97.275732
660,832.496279
661,202.16348599999998
662,37.994773
663,122.214178
664,149.20723299999997
665,112.570564
666,177.165438
667,292.070422
668,38.118452
669,855.1140600000001
670,107.44681400000002
671,32.083522
672,166.09709300000003
673,834.8552890000001
674,80.71411
675,145.438568
676,100.461676
677,92.38641400000002
678,168.55713299999996
679,237.76627299999998
680,197.54454399999997
681,90.97956099999999
682,38.6621
683,125.28481399999998
684,142.002778
685,154.71291200000002
686,238.54148099999998
687,32.083522
688,147.703762
689,146.939619
690,68.53209000000001
691,864.8736329999999
692,855.180681
693,132.308606
694,124.68028100000001
695,226.550527
696,104.428447
697,123.930491
698,326.628806
699,32.083522
700,174.09911
701,134.25583
702,780.1436610000001
703,213.67589399999997
704,79.57290800000001
705,245.41201099999998
706,109.541804
707,278.652867
708,38.024493
709,72.346105
710,32.083522
711,850.662971
712,85.15687400000002
713,144.61787499999997
714,156.723524
715,223.37093599999997
716,234.269499
717,32.083522
718,259.73926800000004
719,246.979909
720,143.904895
721,168.33099
722,37.953485
723,267.244556
724,139.388429
725,155.949979
726,80.97733099999999
727,72.337948
728,147.47262899999998
729,877.89175
730,146.00227999999998
731,38.044179
732,787.8342890000001
733,115.704707
734,298.43935
735,236.908977
736,126.909697
737,140.408462
738,83.97120000000001
739,134.501612
740,38.065896
741,284.994209
742,119.875369
743,829.7984080000001
744,136.502368
745,137.532421
746,273.826617
747,32.083522
748,208.48665999999997
749,40.418566999999996
750,155.064126
751,155.12266400000001
752,38.061515
753,225.884145
754,226.65534899999997
755,799.9007019999999
756,294.201152
757,38.066638
758,136.23105
759,160.44541799999996
760,241.68545099999997
761,152.328679
762,181.404691
763,169.789903
764,276.183351
765,321.942072
766,211.83579099999997
767,38.034279
768,96.16287500000001
769,37.89412622
770,124.05225099999998
771,161.470797
772,842.5055830000001
773,155.87655
774,130.220341
775,365.021566
776,347.947585
777,221.59776399999998
